comment_id,text,golden,golden_has_7,Qwen3-235B-A22B_few_shot,Qwen3-32B_no_cot,gemma-3-27b-it_zero_shot,Qwen3-32B_few_shot,Qwen3-32B_zero_shot,gemma-3-27b-it_no_cot,Qwen3-235B-A22B_zero_shot,gemma-3-27b-it_few_shot,Qwen3-235B-A22B_no_cot
reply_chengdu_2_2_5,真的很多，我就是周边的，不管现实还是网上看的很多，他们天天说自己土著然后说我们弯脚杆，碰到过一个成都gay来我们这弯酸我们这乡坝头，然后碰到过有人问我成都那里的，因为我以为是外地人所以说的成都这边的，我说都江堰的，他说二环以内才是成都，二环以外是四川，刷到过很多帖子问成都要不要彩礼，然后成都人就说我们土著市中心的不要，要的都是周边的，抖音刷到周边的博主下面评论就一堆说人家口音的,147,True,✗,✗,✗,✗,✗,✗,✗,✗,✗
reply_chengdu_2_4_18,就是。。。基本上现在接到那些骚扰电话都是外地口音哎，不是歧视外地人，只是觉得如果他们回老家，做点其他工作，也比鼓捣留在成都打骚扰电话好嘛,47,True,✗,✗,✗,✓,✓,✗,✗,✗,✗
comment_chengdu_2_62,我同学说二环外的都是农民,17,True,✓,✗,✓,✓,✓,✓,✓,✓,✗
comment_chengdu_2_70,成都土著的优越感是最强的，没有之一那种。比如他们在强调自己血统纯正的时候，往往会在前面加上土著或土生土长这样的词语。外地的不用说了，还没资格让土生土长的5城区成都人看不起，有资格被看不起的，首先你要是三环外但是大成都的弯脚杆和211，或者是后面来但是获得了成都省护照的新成都。,137,True,✗,✗,✗,✗,✗,✗,✗,✗,✗
comment_chengdu_2_84,三环外的弯脚杆咋个敢嫌弃哪个,17,True,✗,✗,✗,✗,✗,✗,✗,✗,✗
comment_chengdu_2_148,一般说弯脚杆都是因为他们先挑衅，攻击你家乡你也不乐意啊，说成都的面最难吃，成都二环内市区破烂，口音难听，做人假打...真的成都人才是每天被外地人歧视,147,True,✗,✗,✗,✗,✗,✗,✗,✗,✗
comment_chengdu_2_169,怎么说呢？成都人其实真的不排外，也不歧视，但是有一点就是他们爱喊三环外的弯脚杆，老一辈传下来的吧！因为三环外就变口音了，但是平时还是相处很好，有时候给朋友开玩笑也会说你个批弯弯叉河过来得 ，其实就是开玩笑没有歧视意思，现在年轻人还好，应该就是老一辈带下来的口头禅，我是这样理解的,147,True,✗,✗,✗,✗,✗,✗,✗,✗,✗
comment_chengdu_2_241,有歧视的老土著挺多的，尤其是住在那种老破小的中年和老年人当然肯定也有很友好的土著，但是那种谈到三环外的5句话就有弯脚杆的土著占比还是很多,167,True,✗,✗,✗,✗,✗,✗,✓,✗,✗
reply_harbin1_1_103_20,您大可不必费心向我论证哈尔滨市区的'高贵血统'。你们用口音腔调以及习惯当身份标尺，把市政惠民政策当作地域分界线，这种自诩优越的戏码实在令人莞尔。按这个逻辑，红肠是不是都得查查是不是县里生产的呀？要是县里生产的，那是不是都不能叫哈尔滨红肠？还有冰雪大世界售票规则不过是行政划分的产物，怎么就成了贵贱判书？作为大庆人，我们倒有个朴素的认知：五区四县同属一座城，油田子弟和湿地农家的孩子都在磕头机旁长大。这里的文明尺度从不丈量户口本上的地址——毕竟真正的体面，向来与敲键盘贬低他人的姿势成反比。,467,True,✗,✗,✗,✗,✗,✗,✗,✗,✗
comment_hefei2_1_170,瑶海排除，乱死了尤其龙岗这边长江批发市场这里，绿灯过斑马线一堆开电瓶车运货的一点也不看，就上来撞人,7,True,✗,✗,✗,✗,✗,✗,✗,✗,✗
comment_qingdao_63,这个鄙视链是在老一辈那，因为当时青岛交通不发达，只有市南市北住人多，李沧黄岛是农村种地多。,17,True,✓,✗,✗,✓,✗,✓,✓,✗,✓
comment_beijing1_1_119,东城：东直门，雍和宫，朝外SOHO（？） 西城：安贞？安慧？蓟门桥？南礼士路 海淀：各大知名院校，如清华北大等，中关村，五道口，也是程序员聚集地 朝阳：京爷，四合院，城根底下，繁华都市 丰台：有点偏，外来打工人租房子或者住员工宿舍的地方，有些地方还没开发出来，稍微有点沧桑 石景山：不熟悉，也挺偏的，就知道个八角游乐园 门头沟：山里？挺偏的，那边的人挺横，打架不好欺负 房山：太偏了，总感觉快出北京了，那边房子相对较便宜,157,True,✓,✗,✗,✗,✗,✗,✓,✓,✗
comment_wuhan2_1_79,家里人是武钢的，记得小时候，一些武昌的亲戚一边羡慕我家人的“铁饭碗”一边嘲笑我是乡里伢。,17,True,✓,✗,✗,✓,✗,✓,✗,✓,✗
reply_xm2_1_65_1,其实没必要比，厦门本地人只要在厦门有房子很多都想要读完书回厦门工作的，厦门工资总体不高是因为底层人太多了，实际上厦门的国企包括公务员的工资平均都要比福州高很多。去其他地方读书包括香港也呆过几年，包括去世界各地旅游，真心觉得一个集中环境教育交通医疗都在线的城市厦门算是其中一个非常非常好的，尤其是环境，基本上很少看到都市圈环境能做到这样的，人其实也不算多，全国中等吧,567,True,✓,✗,✗,✗,✗,✗,✗,✗,✗
reply_nanning2_1_12_4,青秀区我有两套了，这边这套是我们的单位集资房，我们有股份，可以得分红，而且是按照职称高低才能买房子的大小，所以我爸说买咯。,67,True,✗,✗,✗,✓,✗,✗,✓,✗,✗
