comment_id,text,golden,golden_has_3,Qwen3-235B-A22B_few_shot,Qwen3-32B_no_cot,gemma-3-27b-it_zero_shot,Qwen3-32B_few_shot,Qwen3-32B_zero_shot,gemma-3-27b-it_no_cot,Qwen3-235B-A22B_zero_shot,gemma-3-27b-it_few_shot,Qwen3-235B-A22B_no_cot
comment_chengdu_2_78,成华区二环内土著 几十年了没觉得啥子,13,True,✓,✗,✓,✓,✓,✓,✓,✓,✓
comment_chengdu_2_189,成都二环内土著，问就是没优越感，我也没什么社交圈子，有几个朋友，大多不是本地人，也没觉得啥,13,True,✗,✗,✗,✓,✓,✓,✗,✓,✓
reply_hefei1_1_1_13,合肥一直都是移民城市，我93年到合肥，从幼儿园到高中，班上所谓纯正的合肥人就没几个，基本都是90年代跟着父母来的，都是普通话交流，合肥话都不会讲，你这些本地同事基本也应该是小时候移民过来的为主，就像我们这些人在别人看都是本地的，因为幼儿园就来了，但是其实也不是土生土长的,3,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
reply_hefei2_1_110_2,没有，我土生土长合肥蜀山区人就喜欢绿化好人少的居住环境，所以大蜀山附近和滨湖是我买房首选,3,True,✗,✓,✓,✓,✓,✓,✓,✓,✓
reply_nanchang_2_1_5_1,哈哈哈 我也是家里三代都在市区 对老南昌人来说市中心就是八一广场附近的商圈 我小时候念的育新嘛 就很夸张 说三十四年以前 二七北路都是郊区,13,True,✓,✓,✗,✓,✓,✓,✓,✓,✓
comment_nanchang_2_1_152,我老公南昌土著，说他小时候红谷滩就是一片荒滩。,3,True,✓,✗,✓,✓,✓,✓,✓,✓,✓
reply_qingdao_2_7,碰到过一个从外地搬来青岛的 住在市南区 觉得自己老高贵了 说什么李沧是城乡结合部 崂山全是拆迁户 莱西平度是偏远山区青岛土生土长本地人只会觉得我小岛岛哪都好 最爱我小岛岛,13,True,✓,✗,✗,✗,✓,✗,✓,✗,✓
comment_qingdao_10,我市南土生土长的，上学的时候去了烟台，大学毕业回家后，嫁了胶州小伙子，因为孩子上学所以我们就住胶州了，我家市区有七八套房子，胶州城阳也都有房子。我爸妈现在住崂山，我每次回家邻居都会说我终于从村里进城了，有一次遇到问我一句你在胶州是不是住不上有暖气的房子…呵呵有啥好说的呢，嘴长在别人身上爱说啥说啥呗。,136,True,✓,✓,✗,✓,✓,✗,✓,✓,✓
comment_beijing1_1_137,东城：出生地 西城：学前班以及爷爷奶奶家 富贵之地 朝阳：定居➕身份证号 朝阳人民群众 商务区 使馆区 购物时尚 金融CBD 海淀 各种重点学校➕很多部队的人员居住➕学区房老破小➕IT 丰台：印象中南城外省市的流动人口最多 石景山：对它印象一直停留在石景山游乐园 大兴：水质很差 都是村 房山：口音很重 感觉路途遥远 都是景点 怀柔：周末远郊必去 昌平：上风口 选🪦的风水宝地和延庆一起堪称北京空气质量略好一筹的地区 密云：密云水库 🍑 古北水镇 口音也很重 延庆：除了山就是村 开车还要盘山 房子便宜的你都不认为它是北京！,1234,True,✓,✗,✗,✓,✓,✓,✓,✓,✓
reply_beijing3_1_3_6,你公公纯老北京的话他们的意识里二环内才是北京三环就是郊区了,13,True,✗,✗,✗,✗,✗,✗,✗,✗,✗
