row_index,comment_id,comment_type,text,golden,models_missing_label,models_with_label,num_models_missing_label,num_models_with_label,Qwen3-235B-A22B_few_shot_prediction,Qwen3-235B-A22B_few_shot_has_4,Qwen3-32B_no_cot_prediction,Qwen3-32B_no_cot_has_4,gemma-3-27b-it_zero_shot_prediction,gemma-3-27b-it_zero_shot_has_4,Qwen3-32B_few_shot_prediction,Qwen3-32B_few_shot_has_4,Qwen3-32B_zero_shot_prediction,Qwen3-32B_zero_shot_has_4,gemma-3-27b-it_no_cot_prediction,gemma-3-27b-it_no_cot_has_4,Qwen3-235B-A22B_zero_shot_prediction,Qwen3-235B-A22B_zero_shot_has_4,gemma-3-27b-it_few_shot_prediction,gemma-3-27b-it_few_shot_has_4,Qwen3-235B-A22B_no_cot_prediction,Qwen3-235B-A22B_no_cot_has_4
3,reply_chengdu_2_2_11,reply,那我说都江堰话被笑的更多，我以前被介绍了个成都人，然后天天给我说他家以前二环以内的，说他家以前宽窄巷子的，各种装b，我就很厌恶,14,['gemma-3-27b-it_zero_shot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",1,8,"认同逻辑1, 认同逻辑4",True,"认同逻辑4, 认同逻辑1",True,,False,"认同逻辑3, 认同逻辑4",True,"认同逻辑1, 认同逻辑4",True,认同逻辑4,True,"认同逻辑4, 认同逻辑1, 认同逻辑3",True,"认同逻辑1, 认同逻辑4",True,"认同逻辑1, 认同逻辑4",True
9,reply_chengdu_2_2_39,reply,我不内耗我也不觉得我们口音不好听，我只是觉得有些成都人笑别人很无语,4,"['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot']","['Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",2,7,,False,认同逻辑4,True,,False,认同逻辑4,True,认同逻辑4,True,认同逻辑4,True,认同逻辑4,True,认同逻辑4,True,认同逻辑4,True
11,reply_chengdu_2_3_3,reply,哈哈，就是，而且我有个同事达州的，他说他的口音才是正宗成都话,4,['gemma-3-27b-it_zero_shot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",1,8,认同逻辑4,True,认同逻辑4,True,,False,认同逻辑4,True,认同逻辑4,True,认同逻辑4,True,认同逻辑4,True,认同逻辑4,True,认同逻辑4,True
21,comment_chengdu_2_16,comment,并没有啊，成都有钱的又不一定是土著，绝大部分土著只是不愁房子住，另外有多余的房子可以出租出去，所以工资那么低很多人还是过得很开心月收入足够支撑不错的生活水平了。成都人天生一副你有钱那是你的事，我不去羡慕各过各的谁也不碍着谁所以大家才悠然自得，那些个有钱的区域又不属于是给土著的，多是外地赚了钱来成都消费或者安置的,46,"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",['Qwen3-235B-A22B_zero_shot'],8,1,认同逻辑6,False,认同逻辑6,False,,False,"认同逻辑6, 认同逻辑1",False,"认同逻辑3, 认同逻辑6",False,"认同逻辑6, 认同逻辑3",False,"认同逻辑1, 认同逻辑4, 认同逻辑5, 认同逻辑6",True,认同逻辑6,False,"认同逻辑3, 认同逻辑6, 认同逻辑1",False
25,comment_chengdu_2_43,comment,我没觉得喃，每次回去都觉得多亲切的，被烧的时候一点感觉都没有，我还是土生土长成都女娃儿，一点口音都没有，一样被烧,34,"['Qwen3-32B_no_cot', 'Qwen3-32B_zero_shot']","['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",2,7,"认同逻辑3, 认同逻辑4",True,认同逻辑3,False,"认同逻辑3, 认同逻辑4",True,"认同逻辑3, 认同逻辑4",True,认同逻辑3,False,"认同逻辑3, 认同逻辑4",True,"认同逻辑3, 认同逻辑4",True,"认同逻辑3, 认同逻辑4",True,"认同逻辑3, 认同逻辑4",True
43,comment_chengdu_2_140,comment,不知道什么时候开始我们老成都人就开始被人骂看不起人了，大多是普通家庭的老成都谁管你哪来的，为什么说成都包容度大就是不管别人的事啊，归属感不强不融入当地不是本地人的错,4,"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot']","['gemma-3-27b-it_zero_shot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",5,4,认同逻辑6,False,认同逻辑1,False,认同逻辑4,True,,False,"认同逻辑1, 认同逻辑3",False,"认同逻辑1, 认同逻辑6",False,"认同逻辑1, 认同逻辑3, 认同逻辑4",True,"认同逻辑3, 认同逻辑1, 认同逻辑4",True,"认同逻辑3, 认同逻辑4",True
54,reply_chengdu_2_183_4,reply,……如果北京上海土著来到成都也是外地人，是不是也歧视人家思想意识 口音 和穿着品味,4,['Qwen3-235B-A22B_zero_shot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",1,8,认同逻辑4,True,"认同逻辑1, 认同逻辑4",True,"认同逻辑1, 认同逻辑4, 认同逻辑6",True,认同逻辑4,True,"认同逻辑1, 认同逻辑4",True,"认同逻辑1, 认同逻辑4",True,认同逻辑3,False,"认同逻辑4, 认同逻辑1",True,认同逻辑4,True
71,reply_chengdu_2_328_11,reply,哈喽冒昧了，同成华区土著三代成都人，本人条件能看口音可查，能了解一哈不,34,"['Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot']","['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",2,7,"认同逻辑3, 认同逻辑4",True,认同逻辑3,False,认同逻辑3,False,"认同逻辑3, 认同逻辑4",True,"认同逻辑3, 认同逻辑4",True,"认同逻辑3, 认同逻辑4",True,"认同逻辑3, 认同逻辑4",True,"认同逻辑3, 认同逻辑4",True,"认同逻辑3, 认同逻辑4",True
91,reply_harbin1_1_103_20,reply,您大可不必费心向我论证哈尔滨市区的'高贵血统'。你们用口音腔调以及习惯当身份标尺，把市政惠民政策当作地域分界线，这种自诩优越的戏码实在令人莞尔。按这个逻辑，红肠是不是都得查查是不是县里生产的呀？要是县里生产的，那是不是都不能叫哈尔滨红肠？还有冰雪大世界售票规则不过是行政划分的产物，怎么就成了贵贱判书？作为大庆人，我们倒有个朴素的认知：五区四县同属一座城，油田子弟和湿地农家的孩子都在磕头机旁长大。这里的文明尺度从不丈量户口本上的地址——毕竟真正的体面，向来与敲键盘贬低他人的姿势成反比。,467,"['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_zero_shot', 'Qwen3-235B-A22B_zero_shot']","['Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'gemma-3-27b-it_no_cot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",4,5,,False,"认同逻辑1, 认同逻辑4, 认同逻辑6",True,"认同逻辑1, 认同逻辑2, 认同逻辑3",False,"认同逻辑2, 认同逻辑3, 认同逻辑4",True,认同逻辑3,False,"认同逻辑1, 认同逻辑2, 认同逻辑4",True,"认同逻辑1, 认同逻辑3",False,"认同逻辑1, 认同逻辑2, 认同逻辑4",True,"认同逻辑1, 认同逻辑2, 认同逻辑4",True
93,reply_harbin1_1_104_2,reply,说嗯呐的不属于哈尔滨市里的,4,"['Qwen3-32B_no_cot', 'gemma-3-27b-it_no_cot']","['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",2,7,"认同逻辑1, 认同逻辑4",True,认同逻辑1,False,"认同逻辑1, 认同逻辑4",True,认同逻辑4,True,"认同逻辑1, 认同逻辑4",True,认同逻辑1,False,"认同逻辑1, 认同逻辑4",True,认同逻辑4,True,认同逻辑4,True
