row_index,comment_id,comment_type,text,golden,models_missing_label,models_with_label,num_models_missing_label,num_models_with_label,Qwen3-235B-A22B_few_shot_prediction,Qwen3-235B-A22B_few_shot_has_1,Qwen3-32B_no_cot_prediction,Qwen3-32B_no_cot_has_1,gemma-3-27b-it_zero_shot_prediction,gemma-3-27b-it_zero_shot_has_1,Qwen3-32B_few_shot_prediction,Qwen3-32B_few_shot_has_1,Qwen3-32B_zero_shot_prediction,Qwen3-32B_zero_shot_has_1,gemma-3-27b-it_no_cot_prediction,gemma-3-27b-it_no_cot_has_1,Qwen3-235B-A22B_zero_shot_prediction,Qwen3-235B-A22B_zero_shot_has_1,gemma-3-27b-it_few_shot_prediction,gemma-3-27b-it_few_shot_has_1,Qwen3-235B-A22B_no_cot_prediction,Qwen3-235B-A22B_no_cot_has_1
0,reply_chengdu_1_61_1,reply,热烈欢迎咱叙北第一带盐人 北门可不差，论三环外，东西三环可不一定有北三环好，再等火北弄好，那就真起飞了,1,['gemma-3-27b-it_zero_shot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",1,8,"认同逻辑1, 认同逻辑5",True,认同逻辑1,True,,False,认同逻辑1,True,"认同逻辑1, 认同逻辑5",True,认同逻辑1,True,"认同逻辑1, 认同逻辑5",True,认同逻辑1,True,认同逻辑1,True
3,reply_chengdu_2_2_11,reply,那我说都江堰话被笑的更多，我以前被介绍了个成都人，然后天天给我说他家以前二环以内的，说他家以前宽窄巷子的，各种装b，我就很厌恶,14,"['gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'gemma-3-27b-it_no_cot']","['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_zero_shot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",3,6,"认同逻辑1, 认同逻辑4",True,"认同逻辑4, 认同逻辑1",True,,False,"认同逻辑3, 认同逻辑4",False,"认同逻辑1, 认同逻辑4",True,认同逻辑4,False,"认同逻辑4, 认同逻辑1, 认同逻辑3",True,"认同逻辑1, 认同逻辑4",True,"认同逻辑1, 认同逻辑4",True
7,reply_chengdu_2_2_25,reply,哈哈哈 真的 确实 因为以前的周边的确实很弯 一说话就嫌弃 其实现在也一样 土著一听就晓得你不是成都的(一环内的)那个口音明显 但对外地人真的热情 问路啥都恨不得带别人走,14,"['Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot']",4,5,"认同逻辑1, 认同逻辑4",True,认同逻辑4,False,"认同逻辑1, 认同逻辑4",True,认同逻辑4,False,认同逻辑4,False,"认同逻辑1, 认同逻辑4",True,"认同逻辑1, 认同逻辑3, 认同逻辑4",True,"认同逻辑4, 认同逻辑1",True,认同逻辑4,False
15,reply_chengdu_2_3_35,reply,我也不知道我算不算成都人，爸爸是成都人，爷爷奶奶也生活在成都，我户口在成都。但是妈妈是外地人，我爸妈都在我妈妈的城市工作。从小我跟着爸妈在我妈妈出生的城市生活，小时候放假回成都，和小朋友玩要被骂乡巴佬，所以导致我小时候不愿意回成都，一直到读研才回的成都，读完研就出国了，现在回成都快3年，不太会说成都话，听得懂，但愿意说四川话，总被同事说我说的四川话有口音，我也一直对成都没有认同感。,134,"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-32B_few_shot', 'gemma-3-27b-it_few_shot']",7,2,"认同逻辑2, 认同逻辑3, 认同逻辑4",False,"认同逻辑3, 认同逻辑2, 认同逻辑4",False,"认同逻辑3, 认同逻辑4",False,"认同逻辑1, 认同逻辑3, 认同逻辑4",True,"认同逻辑3, 认同逻辑2, 认同逻辑4",False,"认同逻辑3, 认同逻辑4",False,"认同逻辑2, 认同逻辑3, 认同逻辑4",False,"认同逻辑3, 认同逻辑4, 认同逻辑1",True,"认同逻辑3, 认同逻辑2, 认同逻辑4",False
22,reply_chengdu_2_25_1,reply,我崇州的嘛 我们身边的人被问到是哪里的 都直接说崇州 不会说是成都的从小到大耳濡目染的就是成都人都觉得三环以外的不算成都的,1,['gemma-3-27b-it_zero_shot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",1,8,认同逻辑1,True,认同逻辑1,True,,False,认同逻辑1,True,"认同逻辑2, 认同逻辑1",True,"认同逻辑1, 认同逻辑2",True,认同逻辑1,True,认同逻辑1,True,认同逻辑1,True
27,comment_chengdu_2_62,comment,我同学说二环外的都是农民,17,"['Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot']","['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",3,6,"认同逻辑7, 认同逻辑1",True,认同逻辑1,True,"认同逻辑1, 认同逻辑7",True,"认同逻辑7, 认同逻辑1",True,认同逻辑7,False,认同逻辑7,False,认同逻辑7,False,"认同逻辑7, 认同逻辑1",True,认同逻辑1,True
30,comment_chengdu_2_78,comment,成华区二环内土著 几十年了没觉得啥子,13,"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot']",5,4,认同逻辑3,False,认同逻辑1,True,"认同逻辑1, 认同逻辑3",True,认同逻辑3,False,认同逻辑3,False,认同逻辑3,False,"认同逻辑1, 认同逻辑3",True,"认同逻辑3, 认同逻辑1",True,认同逻辑3,False
32,comment_chengdu_2_84,comment,三环外的弯脚杆咋个敢嫌弃哪个,17,"['gemma-3-27b-it_zero_shot', 'Qwen3-235B-A22B_zero_shot']","['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",2,7,"认同逻辑1, 认同逻辑4",True,认同逻辑1,True,,False,认同逻辑1,True,认同逻辑1,True,认同逻辑1,True,,False,认同逻辑1,True,认同逻辑1,True
38,comment_chengdu_2_124,comment,作为一环路穷土著我真没觉得我有优越感，但是遇到一部分四川其他地方的朋友就会暗戳戳地想象“她是不是有优越感”，我成都朋友在外面说个成都话，都会被不知情的人指责她学成都口音装成都人,14,"['Qwen3-235B-A22B_few_shot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-32B_no_cot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot']",4,5,"认同逻辑3, 认同逻辑4",False,"认同逻辑1, 认同逻辑4",True,认同逻辑4,False,"认同逻辑3, 认同逻辑4",False,"认同逻辑1, 认同逻辑3, 认同逻辑4",True,"认同逻辑1, 认同逻辑4",True,"认同逻辑1, 认同逻辑3, 认同逻辑4",True,"认同逻辑1, 认同逻辑4",True,认同逻辑4,False
40,comment_chengdu_2_135,comment,怎么说呢，我老家是成都郊区的，跟父母常年住在成都的，每次别人问我，我都说我是某郊区人别人都会说：成都人哦！感觉阴阳怪气的,1,['Qwen3-235B-A22B_no_cot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot']",1,8,认同逻辑1,True,认同逻辑1,True,认同逻辑1,True,认同逻辑1,True,"认同逻辑1, 认同逻辑2",True,认同逻辑1,True,认同逻辑1,True,认同逻辑1,True,认同逻辑3,False
42,comment_chengdu_2_137,comment,成都人都很和蔼都不会歧视外地人，反而是外地人比较歧视和排挤成都人吧，出去上班熟都不熟就开始问你，你们屋头有几套房？你们屋头有几套房你还出来上班啊？还半工半读那么努力？何必把你们平时生活中的不如意归结在成都本地人身上，作为一个正常人，这样的提问方式请问礼貌吗？而且外地的都很有钱，能够买的起房，给得起彩礼，我们成都的有几个买的起房给得起彩礼嘛我们哪里敢有优越感，我二环的，我们去春熙路一般都说进城,16,['gemma-3-27b-it_no_cot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",1,8,认同逻辑1,True,"认同逻辑1, 认同逻辑6",True,"认同逻辑1, 认同逻辑6",True,"认同逻辑1, 认同逻辑6",True,"认同逻辑1, 认同逻辑6",True,"认同逻辑6, 认同逻辑2",False,认同逻辑1,True,"认同逻辑6, 认同逻辑1",True,"认同逻辑1, 认同逻辑3, 认同逻辑4",True
45,comment_chengdu_2_148,comment,一般说弯脚杆都是因为他们先挑衅，攻击你家乡你也不乐意啊，说成都的面最难吃，成都二环内市区破烂，口音难听，做人假打...真的成都人才是每天被外地人歧视,147,['Qwen3-235B-A22B_no_cot'],"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot']",1,8,"认同逻辑1, 认同逻辑3, 认同逻辑4",True,"认同逻辑1, 认同逻辑4",True,"认同逻辑1, 认同逻辑4, 认同逻辑6",True,"认同逻辑1, 认同逻辑4",True,"认同逻辑1, 认同逻辑4",True,"认同逻辑1, 认同逻辑4",True,"认同逻辑1, 认同逻辑4",True,"认同逻辑4, 认同逻辑1",True,认同逻辑4,False
57,comment_chengdu_2_189,comment,成都二环内土著，问就是没优越感，我也没什么社交圈子，有几个朋友，大多不是本地人，也没觉得啥,13,"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot']",7,2,,False,认同逻辑1,True,认同逻辑1,True,认同逻辑3,False,认同逻辑3,False,认同逻辑3,False,,False,认同逻辑3,False,认同逻辑3,False
59,comment_chengdu_2_226,comment,没有什么优越感。土著，从长顺街出来的，从上班就开始羡慕当年周边的城乡结合部，有分红，有拆迁，有土地。到现在40+，就羡慕从农村来的，过年可以回乡下放火炮，杀猪，天然无污染环境。读以前的锦小时，很多同学都是军区后勤的家属，也羡慕啊，什么都有优待。反正，没有觉得土著有太多优越感，不过还是很怀念以前长顺上街，中街以及长发街附近的老邻居些。,16,"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'Qwen3-32B_few_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'Qwen3-235B-A22B_no_cot']","['gemma-3-27b-it_zero_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_few_shot']",6,3,认同逻辑6,False,"认同逻辑3, 认同逻辑6",False,"认同逻辑6, 认同逻辑1",True,认同逻辑6,False,"认同逻辑6, 认同逻辑1",True,"认同逻辑6, 认同逻辑3",False,"认同逻辑3, 认同逻辑5, 认同逻辑6",False,"认同逻辑6, 认同逻辑1",True,认同逻辑3,False
60,comment_chengdu_2_235,comment,我家反正是三环外城乡结合部，周边啥都有反正不进城里玩一般,1,['Qwen3-235B-A22B_few_shot'],"['Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'Qwen3-32B_zero_shot', 'gemma-3-27b-it_no_cot', 'Qwen3-235B-A22B_zero_shot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']",1,8,认同逻辑5,False,认同逻辑1,True,"认同逻辑1, 认同逻辑5",True,认同逻辑1,True,认同逻辑1,True,认同逻辑1,True,"认同逻辑1, 认同逻辑5",True,认同逻辑1,True,"认同逻辑1, 认同逻辑5",True
79,reply_chengdu_3_7_15,reply,有每平方米一万以下的 一二环 老小区00年那种,16,"['Qwen3-235B-A22B_few_shot', 'Qwen3-32B_no_cot', 'gemma-3-27b-it_zero_shot', 'Qwen3-32B_few_shot', 'gemma-3-27b-it_no_cot', 'gemma-3-27b-it_few_shot', 'Qwen3-235B-A22B_no_cot']","['Qwen3-32B_zero_shot', 'Qwen3-235B-A22B_zero_shot']",7,2,,False,认同逻辑5,False,"认同逻辑3, 认同逻辑6",False,认同逻辑5,False,"认同逻辑1, 认同逻辑3",True,"认同逻辑5, 认同逻辑6",False,认同逻辑1,True,,False,认同逻辑5,False
